id,exercise_name,category,calories_burn_per_30min,difficulty,goal,equipment_required,suggested_instructions
74,Treadmill Running,Cardio,375,Medium,Weight Loss,Treadmill,"30 min steady run"
75,Swimming Laps,Strength,126,Easy,Muscle Gain,None,"30 min technique laps (pool required)"
76,Back Squats,Core,210,Medium,Maintain Weight,Barbell,"3 sets of 10 reps"
77,Bench Press,Cardio,141,Hard,Weight Loss,Gym Machine,"3 sets of 12 reps on smith or machine"
78,Bicep Curls,Strength,312,Easy,Muscle Gain,Dumbbells,"3 sets of 12 reps"
79,Shadow Boxing,Cardio,359,Hard,Weight Loss,None,"30 min high intensity"
80,Crunches,Cardio,81,Medium,Weight Loss,Yoga Mat,"3 sets of 20 reps"
81,Zumba,Flexibility,206,Hard,Maintain Weight,None,"30 min dance and stretch"
82,Leg Raises,Cardio,222,Medium,Weight Loss,Yoga Mat,"3 sets of 15 reps"
83,Shadow Boxing,Cardio,103,Medium,Weight Loss,None,"30 min light boxing"
84,Downward Dog Flow,Cardio,86,Hard,Weight Loss,Yoga Mat,"30 min yoga flow"
85,Burpees,Cardio,362,Easy,Weight Loss,None,"30 sec on 30 sec off, 10 rounds"
86,Push-ups,Flexibility,119,Hard,Maintain Weight,None,"3 sets of 10 reps"
87,Dumbbell Lunges,Flexibility,352,Medium,Maintain Weight,Dumbbells,"3 sets of 10 reps each leg"
88,Treadmill Running,Strength,335,Medium,Muscle Gain,Treadmill,"30 min hill intervals"
89,Jump Squats,Cardio,150,Hard,Weight Loss,None,"3 sets of 15 reps"
90,Pilates Stretching,Flexibility,415,Easy,Maintain Weight,Yoga Mat,"30 min pilates and stretch"
91,Bicep Curls,Core,99,Medium,Maintain Weight,Dumbbells,"3 sets of 15 reps"
92,Sun Salutation,Core,431,Easy,Maintain Weight,Yoga Mat,"10 rounds, 30 min"
93,Static Stretching,Core,187,Medium,Maintain Weight,None,"30 min full body stretch"
94,Punching Bag,Strength,213,Medium,Muscle Gain,Gym Machine,"30 min power combinations"
95,Bent-Over Rows,Flexibility,131,Medium,Maintain Weight,Dumbbells,"3 sets of 12 reps"
96,Stationary Cycling,Flexibility,215,Hard,Maintain Weight,Treadmill,"30 min easy spin"
97,Russian Twists,Core,331,Easy,Maintain Weight,Yoga Mat,"3 sets of 20 reps each side"
98,Plank Hold,Cardio,301,Hard,Weight Loss,None,"45 sec hold, 5 rounds"
99,Mountain Climbers,Flexibility,371,Hard,Maintain Weight,None,"30 sec on 30 sec off, 8 rounds"
100,Leg Press,Flexibility,351,Hard,Maintain Weight,Gym Machine,"3 sets of 15 reps, controlled tempo"
